date,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy,yt_true,yt_pred_mlp_8,yt_pred_mlp_30,yt_pred_stacked_mlp,yt_pred_d1d13_ar13,yt_pred_d1d12_mlp
1946-01-01,1095.0249999999992,1444.198616180507,1197.389238901429,890,,,,,
1946-02-01,1077.3934210526309,1417.7272045877276,1182.2558001361897,992,,,,,
1946-03-01,1214.0776315789465,1545.5715803337537,1321.1474334396944,979,,,,,
1946-04-01,1322.1302631578938,1644.7843762768762,1431.1167703908925,959,,,,,
1946-05-01,1385.0249999999992,1698.83927674319,1495.637495200308,1110,,,,,
1946-06-01,1539.4986842105254,1844.473122881762,1651.4464499732069,1546,,,,,
1946-07-01,1929.709210526315,2225.843808421344,2042.7015294464293,1539,,,,,
1946-08-01,3034.4986842105254,3321.7934352765697,3148.244838883134,3401,,,,,
1946-09-01,2284.709210526315,2563.16412667662,2398.918483546477,2092,,,,,
1946-10-01,1815.6565789473675,2085.271657162996,1930.0382529101464,1436,,,,,
1946-11-01,1636.130263157894,1896.9055003584456,1750.3936206583494,1301,,,,,
1946-12-01,1397.6039473684202,1649.5393429107253,1511.4582710016127,1287,,,,,
1947-01-01,1220.817543859648,1464.4041988594968,1362.532522178092,1488,,,,,
1947-02-01,1203.1859649122798,1438.9149915567698,1344.9249807775216,1517,1260.8287581197692,1161.9087471712585,1205.909176660877,,
1947-03-01,1339.8701754385957,1567.7415715928482,1481.374813379577,1707,1360.020366506708,1224.595629831644,1282.3323781895367,,
1947-04-01,1447.922807017543,1667.9365718260235,1588.9346515632085,1729,1434.9276830258302,1163.7599823582932,1273.4332926946747,,
1947-05-01,1510.817543859648,1722.9736765823898,1651.0781795389391,1788,1488.1159796137486,1617.4017370054837,1335.6017470015531,,
1947-06-01,1665.2912280701746,1869.5897270110145,1804.542239412035,2008,1665.9033804755445,1795.6152562820114,1497.3697155066282,,
1947-07-01,2055.501754385964,2251.9426168406494,2193.484725919337,2203,1959.1560238786856,2195.3682622280417,1863.9579449148573,,
1947-08-01,3160.291228070175,3348.874447985927,3296.747744324003,3713,2746.777458137373,2564.826643724735,2894.159199623361,,
1947-09-01,2410.501754385964,2591.22734367603,2545.1733998891905,2946,2630.703128844553,2533.3512617743886,2863.775341039616,,
1947-10-01,1941.4491228070167,2114.317078452459,2074.077482088585,2082,2093.597527732729,2028.963260253768,2029.6152359782648,,
1947-11-01,1761.9228070175432,1926.933125937961,1892.249464606396,2033,1741.766661419351,1753.9262233347822,1480.9424720209242,,
1947-12-01,1523.3964912280694,1680.5491727802937,1651.1630316531491,1937,1677.8859347553466,1738.4145712871962,1537.4542162262408,,
1948-01-01,1346.610087719297,1496.3962330191175,1500.118501467001,1711,1753.5357886832237,1654.5969122026754,1652.011730324965,,
1948-02-01,1328.978508771929,1471.889230006443,1480.4244806376846,1775,1739.437567935572,1624.823851800075,1669.0553566037763,,
1948-03-01,1465.6627192982446,1601.698014332574,1614.8201357448766,1902,1888.1827194795085,1773.3071556047248,1883.153469313907,1972.255844928933,1926.049644751516
1948-04-01,1573.715350877192,1702.875218855802,1720.3580983675258,1846,1983.316236258442,1700.5517939787717,1939.414730605253,1965.2077776186552,1887.2497140495152
1948-05-01,1636.610087719297,1758.894527902221,1780.5120527161575,2083,1983.9057651298167,1967.3471905290128,1892.824074311288,2015.5355067383657,1863.4183278324908
1948-06-01,1791.0837719298238,1906.4927826208984,1932.018840896036,2262,2158.2066304630985,2256.9892235768857,2084.893448401104,2424.4744858631075,2265.4727309741393
1948-07-01,2181.2942982456134,2289.827876740585,2319.036357644003,2193,2554.7160044305524,2615.4046910864454,2533.9061811109777,2359.073541826468,2415.909910844767
1948-08-01,3286.083771929824,3387.741912175916,3420.406708223216,3792,3127.638201003202,2906.239716388649,3224.9487829434297,3968.045416737956,3664.9418672998054
1948-09-01,2536.2942982456134,2631.077012156072,2666.9719978968324,2343,3252.58707489919,3081.437455423414,3492.979939566472,2808.073884261493,2984.13738267962
1948-10-01,2067.241666666666,2155.148951222553,2194.0480161385376,2313,2329.5981921141965,2196.937991488533,2224.2772761725173,1778.0672838479368,1437.8881294894472
1948-11-01,1887.715350877192,1968.747202998108,2010.424236632542,2179,2212.224623916176,2242.1434329826725,2132.686406582887,2014.340903926257,2225.0459394036116
1948-12-01,1649.1890350877184,1723.3454541304927,1767.5743435893703,1975,2040.1687921261075,2037.858109753428,2016.6512439869573,2064.639740338307,2045.7245091726481
1949-01-01,1472.4026315789465,1540.174718659369,1614.7986552471796,1880,1933.9856433428845,1805.5038211538829,1838.435630667749,1946.737616686484,1704.6241813906172
1949-02-01,1454.7710526315782,1516.6499199367477,1593.405778195703,1930,1924.142354971164,1861.8689784844569,1896.2684076311275,1920.0382763384189,1902.8991330630233
1949-03-01,1591.4552631578938,1647.4409085529314,1726.134879014617,2060,2053.185689511821,1957.53714997159,2049.0046827920323,1982.7815379669228,2018.8474781187156
1949-04-01,1699.507894736841,1749.6003173662118,1830.0385892828697,1843,2121.5484272168123,1863.2850673893545,2077.0926070099376,2044.2205330800784,1966.902507671799
